Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,1.400000,1.690000,1.390000,1.500000,1.500000,87614035
2020-03-30,1.450000,1.520000,1.390000,1.490000,1.490000,42926000
2020-04-06,1.490000,1.560000,1.430000,1.510000,1.510000,34110686
2020-04-13,1.510000,1.520000,1.390000,1.430000,1.430000,55317000
2020-04-20,1.430000,1.450000,1.380000,1.400000,1.400000,22611928
2020-04-27,1.410000,1.450000,1.390000,1.430000,1.430000,12213500
2020-05-04,1.400000,1.590000,1.380000,1.540000,1.540000,77464190
2020-05-11,1.550000,1.640000,1.460000,1.550000,1.550000,57754810
2020-05-18,1.560000,1.670000,1.420000,1.440000,1.440000,83134460
2020-05-25,1.440000,1.510000,1.400000,1.440000,1.440000,30669400
2020-06-01,1.460000,1.610000,1.450000,1.580000,1.580000,65801480
2020-06-08,1.620000,1.730000,1.520000,1.670000,1.670000,121304000
2020-06-15,1.680000,1.790000,1.520000,1.520000,1.520000,126887453
2020-06-22,1.540000,1.600000,1.490000,1.530000,1.530000,40047615
2020-06-29,1.520000,1.560000,1.480000,1.540000,1.540000,45263500
2020-07-06,1.540000,1.960000,1.540000,1.820000,1.820000,237336250
2020-07-13,1.840000,1.870000,1.560000,1.590000,1.590000,104059400
2020-07-20,1.590000,1.650000,1.470000,1.520000,1.520000,82793500
2020-07-27,1.520000,1.620000,1.480000,1.580000,1.580000,42711650
2020-08-03,1.600000,1.680000,1.560000,1.630000,1.630000,57539262
2020-08-10,1.630000,1.640000,1.560000,1.590000,1.590000,26141337
2020-08-17,1.600000,1.610000,1.520000,1.550000,1.550000,28815000
2020-08-24,1.550000,1.810000,1.540000,1.650000,1.650000,175262100
2020-08-31,1.660000,1.950000,1.650000,1.710000,1.710000,196663960
2020-09-07,1.690000,1.720000,1.550000,1.570000,1.570000,65771426
2020-09-14,1.590000,1.630000,1.530000,1.530000,1.530000,78910070
2020-09-21,1.540000,1.550000,1.420000,1.420000,1.420000,57733000
2020-09-28,1.440000,1.480000,1.410000,1.430000,1.430000,9793500
2020-10-05,1.430000,1.570000,1.430000,1.510000,1.510000,23892181
2020-10-09,1.540000,1.550000,1.500000,1.510000,1.510000,8649500
